"level","parent","Topic / Item","Count","Average","Min Val","Max Val","Rate (ms)","Percent","Burst Rate","Burst Start",
0,"","Packet Lengths",283252,435.62,42,1174,1.4590,100%,2.0800,131.916
1,"/Packet Lengths","0-19",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","20-39",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","40-79",648,69.28,42,78,0.0033,0.23%,0.1900,186.238
1,"/Packet Lengths","80-159",12,96.75,90,121,0.0001,0.00%,0.0200,6.628
1,"/Packet Lengths","160-319",10015,318.84,180,319,0.0516,3.54%,0.5100,17.295
1,"/Packet Lengths","320-639",272576,440.80,320,584,1.4040,96.23%,2.0800,168.340
1,"/Packet Lengths","640-1279",1,1174.00,1174,1174,0.0000,0.00%,0.0100,7.319
1,"/Packet Lengths","1280-2559",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","2560-5119",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","5120 and greater",0,-,-,-,0.0000,0.00%,-,-
