"level","parent","Topic / Item","Count","Average","Min Val","Max Val","Rate (ms)","Percent","Burst Rate","Burst Start",
0,"","Packet Lengths",28377,433.40,42,1174,0.9585,100%,2.0400,13.680
1,"/Packet Lengths","0-19",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","20-39",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","40-79",101,69.50,42,78,0.0034,0.36%,0.1700,9.911
1,"/Packet Lengths","80-159",6,106.33,94,118,0.0002,0.02%,0.0200,6.346
1,"/Packet Lengths","160-319",7082,318.76,180,319,0.2392,24.96%,0.5100,13.680
1,"/Packet Lengths","320-639",21187,473.51,321,582,0.7156,74.66%,1.5300,13.680
1,"/Packet Lengths","640-1279",1,1174.00,1174,1174,0.0000,0.00%,0.0100,6.310
1,"/Packet Lengths","1280-2559",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","2560-5119",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","5120 and greater",0,-,-,-,0.0000,0.00%,-,-
