"level","parent","Topic / Item","Count","Average","Min Val","Max Val","Rate (ms)","Percent","Burst Rate","Burst Start",
0,"","Packet Lengths",74,252.15,42,1174,0.0082,100%,0.4500,4.212
1,"/Packet Lengths","0-19",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","20-39",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","40-79",34,69.71,42,78,0.0037,45.95%,0.0500,4.212
1,"/Packet Lengths","80-159",2,106.00,104,108,0.0002,2.70%,0.0200,4.255
1,"/Packet Lengths","160-319",20,296.40,180,319,0.0022,27.03%,0.2000,4.219
1,"/Packet Lengths","320-639",17,527.94,364,576,0.0019,22.97%,0.1700,4.255
1,"/Packet Lengths","640-1279",1,1174.00,1174,1174,0.0001,1.35%,0.0100,4.220
1,"/Packet Lengths","1280-2559",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","2560-5119",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","5120 and greater",0,-,-,-,0.0000,0.00%,-,-
