"level","parent","Topic / Item","Count","Average","Min Val","Max Val","Rate (ms)","Percent","Burst Rate","Burst Start",
0,"","Packet Lengths",351,371.45,42,1174,0.0206,100%,1.6800,4.551
1,"/Packet Lengths","0-19",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","20-39",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","40-79",55,71.56,42,78,0.0032,15.67%,0.0400,4.418
1,"/Packet Lengths","80-159",2,109.00,107,111,0.0001,0.57%,0.0200,4.460
1,"/Packet Lengths","160-319",87,310.06,180,319,0.0051,24.79%,0.4500,4.465
1,"/Packet Lengths","320-639",206,476.10,321,578,0.0121,58.69%,1.2500,4.547
1,"/Packet Lengths","640-1279",1,1174.00,1174,1174,0.0001,0.28%,0.0100,4.425
1,"/Packet Lengths","1280-2559",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","2560-5119",0,-,-,-,0.0000,0.00%,-,-
1,"/Packet Lengths","5120 and greater",0,-,-,-,0.0000,0.00%,-,-
